"pack_id","app_id","app_title","created","app_info"
"rhrs","rhrs.campania","Campaña",2024-02-29T23:59:59,""
"rhrs","rhrs.campania_tipo","Tipos de campaña",2024-02-29T23:59:59,""
"rhrs","rhrs.rh_reqper","Requisición de personal",2024-05-20T23:59:59,""
